OBJECTID,ORGN,DSTN,SHAPE_Length
846,PHILIPPI,NYANGA JUNCTION,5619.69725722871
847,PHILIPPI,SAMORA MACHEL,7803.53367838667
848,NYANGA JUNCTION,NYANGA,4905.33222150406
849,NYANGA JUNCTION,PHILIPPI,6152.26465075783
850,NYANGA JUNCTION,SAMORA MACHEL,6630.59168332911
851,NYANGA JUNCTION,CROSS ROADS,8070.79170698201
852,NYANGA JUNCTION,HEIDEVELD STATION,3827.93044537335
853,NYANGA JUNCTION,TAMBO VILLAGE,4269.83683323987
854,RETREAT,RETREAT STATION,7940.62032204805
855,NYANGA,GUGULETU,6449.18671155889
856,NYANGA,PHILIPPI - LOWER CROSS ROADS,6751.9773460007
857,GUGULETU,NYANGA,4007.12618572452
858,GUGULETU,PHILIPPI - LOWER CROSS ROADS,8458.90601502934
859,PHILIPPI,GUGULETU,6139.20824230118
860,PHILIPPI,NYANGA,2880.35030121648
861,PHILIPPI,LOWER CROSS ROADS,5103.92115434322
862,LOWER CROSS ROADS,NYANGA,4772.01538260249
863,LOWER CROSS ROADS,GUGULETU,7636.07363544798
864,LOWER CROSS ROADS,PHILIPPI,5086.58930051498
865,KHAYELITSHA,MFULENI,6528.29765014543
866,NYANGA,WYNBERG,14183.6397281474
867,NYANGA,WYNBERG (VIA GUGULETU VIA CLAREMONT),25296.9015415052
868,NYANGA,WYNBERG (VIA GUGULETU VIA CLAREMONT),22515.7599866264
869,NYANGA,WYNBERG (VIA LOWER CROSS ROADS VIA PHILIPPI),22026.6530200181
870,NYANGA,CLAREMONT (VIA GUGULETU),22042.8349724027
871,NYANGA,CLAREMONT (GUGULETU),18870.8537754585
872,NYANGA,CLAREMONT (VIA PHILIPPI),19586.7682320772
873,NYANGA,CLAREMONT (VIA CROSS ROADS),19844.9557140865
874,NYANGA,WYNBERG (VIA GUGULETU),15621.4274676183
875,NYANGA,WYNBERG (VIA PHILIPPI),17635.5909291054
876,NYANGA,WYNBERG (VIA CROSS ROADS),17832.5874044948
877,KHAYELITSHA,EERSTE RIVER,9171.42800963404
878,KHAYELITSHA,BLACKHEATH,11850.8184407427
879,KHAYELITSHA,KUILSRIVER,16422.0197822878
880,KHAYELITSHA,LWANDLE,28565.9754266179
881,NYANGA TERM,MITCHELLS PLAIN,12135.4981519239
882,NYANGA,MITCHELLS PLAIN (VIA LOWER CROSS ROADS),10959.4961889999
883,NYANGA TERM,SAMORA MACHEL,7338.96656870064
884,YSTERPLAAT,MAITLAND,2708.49650289176
885,YSTERPLAAT,PARKLANDS,18067.6759619979
886,YSTERPLAAT,MONTAGUE GARDENS,13931.733799295
887,YSTERPLAAT,METRO INDUSTRY(PAARDEN EILAND),4751.26135279776
888,YSTERPLAAT,KILLARNEY,13291.0914933833
889,KHAYELITSHA,FISH HOEK,39887.2432562961
890,CROOS ROADS(JO-BURG STORES),CLAREMONT,14911.5559771767
891,FISH HOEK,RETREAT,14093.4436985334
892,LANGA,WYNBERG,15519.2960537044
893,WYNBERG,NYANGA,19854.1629013636
894,LANGA,NYANGA,11982.3848960824
895,SAMORA MACHEL,CLAREMONT,15035.4910693049
896,SAMORA MACHEL,CLAREMONT (VIA WYNBERG),16607.7796763661
897,ATLANTIS(WESFLEUR),FARMS(ATLANTIS),13031.2516087417
898,BELLVILLE,FISANTEKRAAL,22309.0152824172
899,BELLVILLE,CENTURY CITY (VIA N1),19937.0637671906
900,BELLVILLE,CENTURY CITY (VIA VOORTREKKER RD),20205.5753091912
901,SAXON WORLD,BELLVILLE,89439.7454027037
902,SAXON WORLD,LANGA STATION,69636.3197710586
903,RETREAT,RETREAT STATION,10742.5927884743
904,DU NOON,CAPE TOWN,21531.5717870332
905,DU NOON,SUMMER GREENS,10888.432800343
906,DU NOON,PARKLANDS,12301.57879906
907,LANGA,DELFT,15135.45272487
908,LEIDEN DELFT,ELSIES RIVER,17397.7371961743
909,LOWER CROSS ROADS,CAPE TOWN,31256.8110738443
910,CLAREMONT,LANGA,15002.8963835558
911,CLAREMONT,NYANGA,21638.7966764112
912,CLAREMONT,NYANGA,17990.5958190214
913,MASIPHUMELELE,SIMONS TOWN,25690.7928975786
914,WESBANK,BELLVILLE,13294.5863550385
915,CAPE TOWN,BELLVILLE,24041.7438749266
916,CROSS ROADS (JO-BURG STORES),WYNBERG,12899.187667585
917,CROSS ROADS (JO-BURG STORES),WYNBERG (VIA CLAREMONT),14854.0104550995
918,CROSS ROADS (JO-BURG STORES),CLAREMONT(VIA WYNBERG),16430.7770373215
919,EYONA,CAPE TOWN,20094.3932561955
920,GUGULETU,KHAYELITSHA,15492.4532534314
921,GUGULETU,LANGA,15921.1504680059
922,BELLVILLE,LOWER CROSS ROADS,20621.8313230924
923,KHAYELITSHA,MONTE VISTA,37245.7267303673
924,KHAYELITSHA,DE LA REY,42086.9019739794
925,KHAYELITSHA,GOODWOOD,25747.9122679735
926,KALKFONTEIN,KUILSRIVER,5038.60477580177
927,CAPE TOWN,GARDENS,3428.13325433211
928,CAPE TOWN,ORANJEZICHT,4097.63592182797
929,CAPE TOWN,CABLE WAY STATION,12459.618035362
930,HAPPY VALLEY,BELLVILLE,16935.6527498486
931,MFULENI,KUILSRIVER,15078.2803593557
932,WYNBERG,CENTURY CITY,22986.8007774737
933,WYNBERG,CENTURY CITY,32909.9328151568
934,WYNBERG,CENTURY CITY,29193.0842832276
935,WYNBERG,CENTURY CITY,30609.7192662194
936,PAROW,DELFT,19688.19662396
937,MUIZENBERG,MITCHELLS PLAIN,23947.8840846299
938,MITCHELLS PLAIN,CENTURY CITY,36590.9568781673
939,MITCHELLS PLAIN,CENTURY CITY,37866.7942119035
940,MITCHELLS PLAIN,CENTURY CITY,39979.0502935536
941,BELLVILLE,DU NOON,26240.1847625063
942,DELFT,WYNBERG,18702.4019458617
943,MASIPHUMELELE,NOORDHOEK,10312.5065991963
944,DELFT,WYNBERG (VIA CLAREMONT),24372.7308116443
